Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",2.0,Penguin Books,Paperback,452,2000,1999,2025/04/09,2023/08/22,physically-owned,physically-owned (#21),read,This was so cynical. Why did I like it few years ago? Hahaha.,,,1,0
41881472,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"Housel, Morgan",,"=""""","=""""",0,Harriman House,Paperback,242,2020,2020,,2025/04/08,"to-read, business-career, physically-owned","to-read (#11), business-career (#8), physically-owned (#46)",to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",4.0,Hyperion,Hardcover,196,2003,2003,2025/04/06,2025/04/06,,,read,,,,1,0
29418026,Seeds Planted in Concrete,Bianca Sparacino,"Sparacino, Bianca",,"=""0996487123""","=""9780996487122""",3.0,Thought Catalog Books,Paperback,122,2015,2015,2025/04/05,2025/04/05,self-help,self-help (#20),read,,,,1,0
55286154,"The 38 Letters from J.D. Rockefeller to His Son: Perspectives, Ideology, and Wisdom",范毅然,"范毅然, 范毅然",,"=""""","=""""",2.0,,Kindle Edition,187,2020,,2025/04/05,2025/03/17,"business-career, self-help","business-career (#7), self-help (#19)",read,Ego.,,,1,0
55921253,The Road to Wigan Pier,George Orwell,"Orwell, George",,"=""0008443823""","=""9780008443825""",4.0,HarperCollins,Paperback,240,2021,1937,2025/03/20,2023/08/16,physically-owned,physically-owned (#8),read,,,,1,0
5206937,A Modest Proposal,Jonathan Swift,"Swift, Jonathan",,"=""1605977276""","=""9781605977270""",5.0,Book Jungle,Paperback,48,2008,1729,2025/01/27,2025/01/26,,,read,"A good satire, funny enough, I hoped he wasn’t joking. It’s very a modest proposal, indeed.",,,1,0
25490360,The Burnout Society,Byung-Chul Han,"Han, Byung-Chul",Erik Butler,"=""0804795096""","=""9780804795098""",5.0,Stanford University Press,Paperback,60,2015,2010,2025/01/06,2025/01/06,,,read,"I think I like this book a little too much—so much so that I can see myself rereading it 3–4 times this year. It’s such a unique find.<br/><br/>I’ve always come across the idea that mental illnesses or issues like those mentioned in the book are the result of a negative mindset or an unhealthy lifestyle. That perspective never quite sat right with me. Ironically, this book argues that it’s not negativity but rather excessive positivity in work and performance that’s at the root of our struggles. Han’s concept of the ""achievement-society"" completely resonated with me, especially as someone raised within such a framework.<br/><br/>He writes:<br/><br/><i>“The achievement-subject exploits itself until it burns out. In the process, it develops auto-aggression that often enough escalates into the violence of self-destruction. The project turns out to be a projectile that the achievement-subject is aiming at itself.”</i><br/><br/>This idea—that we are simultaneously the exploiter and the exploited—perfectly encapsulates the modern condition.<br/><br/>As for the writing, I found it fascinating how Han weaves together references to philosophers, psychologists, and writers. He doesn’t just cite their work—he frequently challenges and debunks their ideas, which made for thought-provoking reading. That said, the book contains a lot of jargon that required me to look things up. I didn’t mind this, but the frequent use of unnecessarily complex or ""highfalutin"" language (perhaps due to translation) did irk me at times.<br/><br/>Overall, this was an excellent read. To close, I’ll leave you with my favorite line from the book:<br/><br/><i>“They are too alive to die, and too dead to live.”</i>",,,1,0
58145670,Courage Is Calling: Fortune Favors the Brave,Ryan Holiday,"Holiday, Ryan",,"=""0593191676""","=""9780593191675""",3.0,Portfolio,Hardcover,278,2021,2021,2024/12/31,2024/06/17,"business-career, self-help","business-career (#2), self-help (#18)",read,"To be honest, I considered this a good book halfway through reading it. Parts 1 and 2 are undeniably engaging, filled with historical background and thoughtful citations from Stoic philosophers. By ""easy read,"" I mean the writing is straightforward—no complex sentences or overly pretentious language, which I appreciated.<br/><br/>However, I lost interest in Part 3, which is why it took me a long time to pick the book up again.",,,1,0
59586952,"The Daily Stoic: 366 Meditations for Clarity, Effectiveness, and Serenity",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""0735211736""","=""9780735211735""",0,Portfolio,Hardcover,416,2016,2016,,2025/01/06,currently-reading,currently-reading (#3),currently-reading,,,,1,0
24874322,The Life of a Stupid Man,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke",Jay Rubin,"=""0141397721""","=""9780141397726""",3.0,Penguin Classics,Paperback,55,2015,1927,2024/12/21,2024/12/11,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,Doubleday,Hardcover,736,2015,2015,,2023/07/03,"physically-owned, currently-reading","physically-owned (#7), currently-reading (#2)",currently-reading,,,,1,0
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""052553654X""","=""""",4.0,Portfolio,Kindle Edition,302,2019,2019,2024/06/22,2024/06/10,"self-help, technology","self-help (#16), technology (#2)",read,"It’s a good book—quite insightful. I jotted down the practices and leisure lessons. I also appreciate how it’s backed up by research, philosophical background, real-life testimonies, and even a personal social experiment. The author’s personal experiences also add a relatable touch, making the book not only informative but also personable.<br/><br/>Though I liked all the ideas, I find them common (subjectively) because I’ve been practicing digital minimalism (without knowing the term) for years now. <br/><br/>But overall, it follows a clear outline and presents strong arguments. The structured approach helps in understanding the step-by-step process of adopting digital minimalism, and the actionable advice makes it practical for me to follow and apply in my life.",,,1,0
54829115,A Child's Dream of a Star,Charles Dickens,"Dickens, Charles",,"=""""","=""""",4.0,Puplic domain,ebook,13,2014,1850,2024/06/19,2024/06/18,,,read,"I accidentally passed by to read this and I thought how lovely it is to transcribe into my mother tongue! Sparklingly the idea to actually do so comes to life because I have an academic paper required to translate a piece of literature.<br/><br/>Dickens, I will always be in debt and awe.",,,1,0
128533513,Make Something Wonderful,Steve Jobs,"Jobs, Steve",,"=""""","=""""",5.0,"The Steve Jobs Archive, LLC",ebook,194,2023,,2024/06/07,2024/06/06,"memoir, highly-recommended, business-career","memoir (#4), highly-recommended (#10), business-career (#6)",read,what a read! will prolly be rereading this multiple times.,,,1,0
4030991,Shoe Dog,Phil Knight,"Knight, Phil",,"=""1501135937""","=""9781501135934""",5.0,Scribner,Kindle Edition,402,2016,2016,2024/06/08,2024/06/08,"memoir, business-career","memoir (#5), business-career (#5)",read,will read this again! the audiobook won’t suffice.,,,1,0
55189231,The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,"Cole, Nicolas",,"=""0998203483""","=""9780998203485""",3.0,Nicolas Cole,Kindle Edition,340,2020,,2024/01/01,2023/09/06,business-career,business-career (#4),read,,,,1,0
